epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.37,1.02604,3.47938,1.11938,0.43906,0.20941,0.25361,0.19582,0.97281,2.3174,1.01307,0.000235856,0.000235856,0.000235856
2,280.917,1.00854,2.39074,1.07925,0.56502,0.34933,0.37363,0.26356,1.00525,1.63259,1.07471,0.000426944,0.000426944,0.000426944
3,418.398,0.9909,1.98682,1.06771,0.62505,0.4444,0.49351,0.3492,0.9294,1.32121,0.9996,0.000570908,0.000570908,0.000570908
4,555.346,0.96528,1.73501,1.05221,0.73996,0.44711,0.51291,0.38493,0.87127,1.25759,0.99262,0.000501942,0.000501942,0.000501942
5,691.155,0.88137,1.5087,1.01135,0.78508,0.48178,0.57079,0.42193,0.82786,1.09874,0.95708,0.000431256,0.000431256,0.000431256
6,825.682,0.84509,1.32953,0.99238,0.82096,0.51085,0.6097,0.46056,0.82524,1.05346,0.96699,0.00036057,0.00036057,0.00036057
7,957.758,0.7927,1.20307,0.97043,0.79519,0.56794,0.63301,0.4805,0.74894,0.91862,0.9397,0.000289884,0.000289884,0.000289884
8,1092,0.75846,1.094,0.9519,0.75511,0.59423,0.64877,0.50313,0.70878,0.85772,0.90262,0.000219198,0.000219198,0.000219198
9,1227.12,0.71456,0.99917,0.92672,0.82769,0.56653,0.65909,0.507,0.69876,0.80128,0.9034,0.000148512,0.000148512,0.000148512
10,1353.78,0.67433,0.94017,0.91183,0.82834,0.58897,0.66846,0.52449,0.67794,0.77572,0.90539,7.7826e-05,7.7826e-05,7.7826e-05
